"Gene_ID","baseMean","log2FoldChange","lfcSE","pvalue","padj","sig"
"ATCG00590",484.32998166801,1.33289522497305,0.156295400348303,1.44119734171219e-18,2.22885817919473e-16,"Up-regulated"
"AT3G57020",512.743026909149,1.13916495437077,0.13348004566172,1.60030502849738e-18,2.45512396251954e-16,"Up-regulated"
"ATCG00340",35739.3777657922,1.08807442447059,0.127531554017082,1.7460169129648e-18,2.65741002697825e-16,"Up-regulated"
"AT4G09030",254.729772219558,-1.69251687543274,0.199949363460659,1.91168618872697e-18,2.88664614497773e-16,"Down-regulated"
"AT2G30520",763.751632060611,1.08264820642867,0.127156189681635,1.99374049949132e-18,2.98702824677696e-16,"Up-regulated"
"AT2G29670",232.84840654576,1.7210695983621,0.203487425258059,2.02602412159838e-18,3.01186547130946e-16,"Up-regulated"
"AT4G36040",827.886881239484,1.06985166650941,0.125994327964067,2.62381657933493e-18,3.87053311860814e-16,"Up-regulated"
"AT5G66400",68.1884878233028,2.40884006107281,0.286449229371157,2.69222161565316e-18,3.94112472697562e-16,"Up-regulated"
"AT4G32480",260.847941448867,1.60357838128439,0.190484107767358,3.02010271304747e-18,4.38761437334177e-16,"Up-regulated"
"AT2G19570",219.726570550691,-1.616728510392,0.192139225632705,3.09241206362828e-18,4.45888617625561e-16,"Down-regulated"
"AT4G26010",103.043146816994,-1.9897163678741,0.236675731946466,3.50309899112894e-18,5.01335293678207e-16,"Down-regulated"
"AT4G01700",84.9533629730347,-2.22336944241333,0.264716589646975,3.79895074701704e-18,5.39647988707747e-16,"Down-regulated"
"AT2G01530",341.456722867086,1.48457338553317,0.177067374629001,4.13649805736881e-18,5.83276641515894e-16,"Up-regulated"
"AT1G28660",131.037586953275,-1.74996859299505,0.209169150906527,4.51621666396053e-18,6.32171437699059e-16,"Down-regulated"
"AT3G56290",189.14791718272,1.57935180594923,0.188635147382821,4.93918451530184e-18,6.86367691666256e-16,"Up-regulated"
"AT1G65845",605.313450211766,-1.22553607322027,0.146172965786041,5.11533518990099e-18,7.05732251343391e-16,"Down-regulated"
"AT1G54010",550.932419432387,-1.07873746981702,0.128356255670652,5.15728691032276e-18,7.06437793423282e-16,"Down-regulated"
"AT2G30600",370.145427527983,1.39877383090714,0.16757654189205,6.27669462571345e-18,8.5367498466175e-16,"Up-regulated"
"AT3G28740",185.273989571559,1.8300776937329,0.220762398659387,7.86062407310187e-18,1.06157174542165e-15,"Up-regulated"
"AT5G19120",1012.33397469726,1.30999361569801,0.158522733814914,1.33741489951702e-17,1.79353884811454e-15,"Up-regulated"
"AT4G34230",225.032661657266,-1.40467890692493,0.170627518017611,1.66852944385426e-17,2.22204091283285e-15,"Down-regulated"
"AT2G46830",123.105545696484,1.69059705827403,0.206176499004999,1.80850176709353e-17,2.39183713017604e-15,"Up-regulated"
"AT4G40090",90.4837527211454,-2.04002839257005,0.250000483424528,2.45125639776684e-17,3.21970848903937e-15,"Down-regulated"
"AT1G17020",46.0723861991937,-4.40000333437069,0.531785211928176,2.52959881313421e-17,3.30000792105271e-15,"Down-regulated"
"AT4G38080",248.760166529185,1.53449005428216,0.188573068486345,3.2132248577152e-17,4.1635143984057e-15,"Up-regulated"
"AT3G07700",282.373391138018,1.35973391009143,0.16774722514444,4.61418254720528e-17,5.93866971192991e-15,"Up-regulated"
"AT5G61600",82.9469496695586,2.2218471683467,0.275675806663185,6.22550282617512e-17,7.95909784650402e-15,"Up-regulated"
"AT3G53420",1581.86809591334,0.962515937247691,0.118672485702359,7.28489983976679e-17,9.25182279650382e-15,"Not significant"
"AT3G13750",1760.98383456654,1.3643314365004,0.169652010489424,8.04172817897534e-17,1.01458040321191e-14,"Up-regulated"
"AT1G13245",500.484910747861,1.16165004265154,0.144224366158435,8.59803272973917e-17,1.07767629841966e-14,"Up-regulated"
"AT2G34430",8610.096356355,1.05812426560528,0.131191665176153,9.23588884412724e-17,1.15010805431057e-14,"Up-regulated"
"AT5G25260",44.7824313213872,-3.68371898610229,0.456086423944783,1.06386570127358e-16,1.31624210021442e-14,"Down-regulated"
"AT5G02490",75.2039147053635,-2.59750959355702,0.325365985049844,1.08855767256709e-16,1.33815836453969e-14,"Down-regulated"
"AT5G67400",75.2093404876897,-2.23979543927574,0.280436171614018,1.11213589529488e-16,1.35843503592802e-14,"Down-regulated"
"AT5G06860",199.344300562417,-1.47487845690568,0.184575664324234,1.16911972139164e-16,1.41900056310934e-14,"Down-regulated"
"AT1G64720",1370.94366787188,1.0063036264989,0.125312743580526,1.32236736401358e-16,1.59490810941437e-14,"Up-regulated"
"AT2G44230",62.5061500768589,2.36828837995809,0.29788539175414,1.55248763017654e-16,1.86075345524347e-14,"Up-regulated"
"ATCG00730",709.22858997983,1.12079509383403,0.14050095244138,1.7825193694622e-16,2.12319092845817e-14,"Up-regulated"
"AT1G70820",185.813824691384,1.49536278715781,0.188859116962298,2.01019870700585e-16,2.37960374100316e-14,"Up-regulated"
"AT5G37600",219.912758240083,-1.48434142854264,0.187227364196419,2.0241785478581e-16,2.38145227069171e-14,"Down-regulated"
"AT5G13650",342.154680404715,1.22021787332898,0.154204550002133,2.80065149423552e-16,3.27488376249723e-14,"Up-regulated"
"AT5G03350",75.5667985032289,-2.22612121789414,0.283324669020155,3.19858416655142e-16,3.71753021587616e-14,"Down-regulated"
"AT5G46110",1748.2080693987,0.847048052196934,0.106527100143694,3.27357360118455e-16,3.7817663222841e-14,"Not significant"
"AT1G16720",214.270342860485,1.38026312762653,0.175402277238677,3.53667098295899e-16,4.06124188264698e-14,"Up-regulated"
"AT1G21100",196.454534828426,1.70336724915448,0.217937100814688,3.91398996395571e-16,4.46777294873683e-14,"Up-regulated"
"AT3G54500",205.134633304501,1.645157956709,0.209913787944058,4.06304885556613e-16,4.60886654285916e-14,"Up-regulated"
"AT5G64840",359.366089948233,1.11179860461309,0.141172041273931,4.08566153353527e-16,4.60886654285916e-14,"Up-regulated"
"AT5G08260",122.356960212863,-1.75497746918465,0.224960601653355,4.63613594204861e-16,5.19925023161791e-14,"Down-regulated"
"AT3G49780",118.417214962354,1.81891299128275,0.233428619294295,5.2802472340527e-16,5.8871686748505e-14,"Up-regulated"
"AT3G62550",412.556212931455,1.36001399556965,0.175018500010905,7.22452789527476e-16,8.00836829177365e-14,"Up-regulated"
"AT2G02990",80.2232272711863,-5.07227463455646,0.652885181080192,8.38739784055415e-16,9.24397289587971e-14,"Down-regulated"
"AT3G51860",81.3871952282449,-2.73943374594013,0.355728312678882,8.91751828370836e-16,9.71654818901564e-14,"Down-regulated"
"AT5G54585",56.7524196858372,2.29823671677214,0.29795900298527,8.89291894747738e-16,9.71654818901564e-14,"Up-regulated"
"AT5G17300",79.6115225370999,2.22837350532071,0.288745828037484,9.33261237383893e-16,1.01113846041305e-13,"Up-regulated"
"AT5G22920",686.634236390966,1.12757579327401,0.145293414170552,9.58164865873708e-16,1.02652109680783e-13,"Up-regulated"
"AT5G39580",293.013200431497,-1.36574017354944,0.176756474560496,9.56366899812382e-16,1.02652109680783e-13,"Down-regulated"
